Packet Number,SIV,FixType,Latitude,Longitude,Altitude,Year,Month,Day,Hour,Min,Sec,NNV,NEV,NDV,Battery,3v3 Supply,5v Supply,Radio Supply,Analog Internal,Analog External,Altimeter Temp,Digital Internal,Digital Eternal,Pressure,Accel A,Accel Y,Accel z,Pitch,Roll,Yaw
Packet Number,SIV,FixType,Latitude,Longitude,Altitude,Year,Month,Day,Hour,Min,Sec,NNV,NEV,NDV,Battery,3v3 Supply,5v Supply,Radio Supply,Analog Internal,Analog External,Altimeter Temp,Digital Internal,Digital Eternal,Pressure,Accel A,Accel Y,Accel z,Pitch,Roll,Yaw
Packet Number,SIV,FixType,Latitude,Longitude,Altitude,Year,Month,Day,Hour,Min,Sec,NNV,NEV,NDV,Battery,3v3 Supply,5v Supply,Radio Supply,Analog Internal,Analog External,Altimeter Temp,Digital Internal,Digital Eternal,Pressure,Accel A,Accel Y,Accel z,Pitch,Roll,Yaw
Packet Number,SIV,FixType,Latitude,Longitude,Altitude,Year,Month,Day,Hour,Min,Sec,NNV,NEV,NDV,Battery,3v3 Supply,5v Supply,Radio Supply,Analog Internal,Analog External,Altimeter Temp,Digital Internal,Digital Eternal,Pressure,Accel A,Accel Y,Accel z,Pitch,Roll,Yaw
Packet Number,SIV,FixType,Latitude,Longitude,Altitude,Year,Month,Day,Hour,Min,Sec,NNV,NEV,NDV,Battery,3v3 Supply,5v Supply,Radio Supply,Analog Internal,Analog External,Altimeter Temp,Digital Internal,Digital Eternal,Pressure,Accel A,Accel Y,Accel z,Pitch,Roll,Yaw
Packet Number,SIV,FixType,Latitude,Longitude,Altitude,Year,Month,Day,Hour,Min,Sec,NNV,NEV,NDV,Battery,3v3 Supply,5v Supply,Radio Supply,Analog Internal,Analog External,Altimeter Temp,Digital Internal,Digital Eternal,Pressure,Accel A,Accel Y,Accel z,Pitch,Roll,Yaw
Packet Number,SIV,FixType,Latitude,Longitude,Altitude,Year,Month,Day,Hour,Min,Sec,NNV,NEV,NDV,Battery,3v3 Supply,5v Supply,Radio Supply,Analog Internal,Analog External,Altimeter Temp,Digital Internal,Digital Eternal,Pressure,Accel A,Accel Y,Accel z,Pitch,Roll,Yaw
Packet Number,SIV,FixType,Latitude,Longitude,Altitude,Year,Month,Day,Hour,Min,Sec,NNV,NEV,NDV,Battery,3v3 Supply,5v Supply,Radio Supply,Analog Internal,Analog External,Altimeter Temp,Digital Internal,Digital Eternal,Pressure,Accel A,Accel Y,Accel z,Pitch,Roll,Yaw
Packet Number,SIV,FixType,Latitude,Longitude,Altitude,Year,Month,Day,Hour,Min,Sec,NNV,NEV,NDV,Battery,3v3 Supply,5v Supply,Radio Supply,Analog Internal,Analog External,Altimeter Temp,Digital Internal,Digital Eternal,Pressure,Accel A,Accel Y,Accel z,Pitch,Roll,Yaw
Packet Number,SIV,FixType,Latitude,Longitude,Altitude,Year,Month,Day,Hour,Min,Sec,NNV,NEV,NDV,Battery,3v3 Supply,5v Supply,Radio Supply,Analog Internal,Analog External,Altimeter Temp,Digital Internal,Digital Eternal,Pressure,Accel A,Accel Y,Accel z,Pitch,Roll,Yaw
Packet Number,SIV,FixType,Latitude,Longitude,Altitude,Year,Month,Day,Hour,Min,Sec,NNV,NEV,NDV,Battery,3v3 Supply,5v Supply,Radio Supply,Analog Internal,Analog External,Altimeter Temp,Digital Internal,Digital Eternal,Pressure,Accel A,Accel Y,Accel z,Pitch,Roll,Yaw
Packet Number,SIV,FixType,Latitude,Longitude,Altitude,Year,Month,Day,Hour,Min,Sec,NNV,NEV,NDV,Battery,3v3 Supply,5v Supply,Radio Supply,Analog Internal,Analog External,Altimeter Temp,Digital Internal,Digital Eternal,Pressure,Accel A,Accel Y,Accel z,Pitch,Roll,Yaw
Packet Number,SIV,FixType,Latitude,Longitude,Altitude,Year,Month,Day,Hour,Min,Sec,NNV,NEV,NDV,Battery,3v3 Supply,5v Supply,Radio Supply,Analog Internal,Analog External,Altimeter Temp,Digital Internal,Digital Eternal,Pressure,Accel A,Accel Y,Accel z,Pitch,Roll,Yaw
Packet Number,SIV,FixType,Latitude,Longitude,Altitude,Year,Month,Day,Hour,Min,Sec,NNV,NEV,NDV,Battery,3v3 Supply,5v Supply,Radio Supply,Analog Internal,Analog External,Altimeter Temp,Digital Internal,Digital Eternal,Pressure,Accel A,Accel Y,Accel z,Pitch,Roll,Yaw
Packet Number,SIV,FixType,Latitude,Longitude,Altitude,Year,Month,Day,Hour,Min,Sec,NNV,NEV,NDV,Battery,3v3 Supply,5v Supply,Radio Supply,Analog Internal,Analog External,Altimeter Temp,Digital Internal,Digital Eternal,Pressure,Accel A,Accel Y,Accel z,Pitch,Roll,Yaw
Packet Number,SIV,FixType,Latitude,Longitude,Altitude,Year,Month,Day,Hour,Min,Sec,NNV,NEV,NDV,Battery,3v3 Supply,5v Supply,Radio Supply,Analog Internal,Analog External,Altimeter Temp,Digital Internal,Digital Eternal,Pressure,Accel A,Accel Y,Accel z,Pitch,Roll,Yaw
Packet Number,SIV,FixType,Latitude,Longitude,Altitude,Year,Month,Day,Hour,Min,Sec,NNV,NEV,NDV,Battery,3v3 Supply,5v Supply,Radio Supply,Analog Internal,Analog External,Altimeter Temp,Digital Internal,Digital Eternal,Pressure,Accel A,Accel Y,Accel z,Pitch,Roll,Yaw
Packet Number,SIV,FixType,Latitude,Longitude,Altitude,Year,Month,Day,Hour,Min,Sec,NNV,NEV,NDV,Battery,3v3 Supply,5v Supply,Radio Supply,Analog Internal,Analog External,Altimeter Temp,Digital Internal,Digital Eternal,Pressure,Accel A,Accel Y,Accel z,Pitch,Roll,Yaw
a62,0,0,0,0,0,2020,8,2,0,1,4,0,0,0,3.44,3.26,4.98,4.97,31.29,26.27,23.15,24.84,23.27,1011.92,0.04,-0.04,9.71,0.23,-0.23,-158.64,"END
"
Packet Number,SIV,FixType,Latitude,Longitude,Altitude,Year,Month,Day,Hour,Min,Sec,NNV,NEV,NDV,Battery,3v3 Supply,5v Supply,Radio Supply,Analog Internal,Analog External,Altimeter Temp,Digital Internal,Digital Eternal,Pressure,Accel A,Accel Y,Accel z,Pitch,Roll,Yaw
254,0,0,0,0,0,2020,8,2,0,4,16,0,0,0,3.39,3.28,4.98,4.96,32.92,23.98,20.29,24.58,19.94,1021.58,0.65,0.04,9.75,3.81,0.22,171.85,"END
"
255,0,0,0,0,0,2020,8,2,0,4,17,0,0,0,3.41,3.26,4.98,4.91,32.11,23.86,20.32,24.58,19.96,1021.57,0.65,0.00,9.68,3.84,0.00,171.81,"END
"
256,0,0,0,0,0,2020,8,2,0,4,18,0,0,0,3.40,3.27,4.99,4.96,33.56,23.03,20.32,24.63,19.91,1021.29,0.61,0.04,9.71,3.60,0.23,174.02,"END
"
257,0,0,0,0,0,2020,8,2,0,4,19,0,0,0,3.40,3.26,4.98,4.89,33.15,24.50,20.33,24.64,19.97,1021.28,0.65,0.00,9.68,3.84,0.00,172.69,"END
"
258,0,0,0,0,0,2020,8,2,0,4,20,0,0,0,3.39,3.27,4.98,4.97,33.21,23.93,20.35,24.62,19.94,1021.46,0.61,0.00,9.60,3.65,0.00,172.62,"END
"
259,0,0,0,0,0,2020,8,2,0,4,21,0,0,0,3.41,3.26,4.98,4.96,32.84,24.01,20.35,24.63,19.96,1021.53,0.69,0.00,9.87,3.99,0.00,172.14,"END
"
260,0,0,0,0,0,2020,8,2,0,4,22,0,0,0,3.40,3.27,4.98,4.96,33.37,23.44,20.36,24.66,19.94,1021.57,0.73,0.04,9.60,4.33,0.23,172.09,"END
"
261,0,0,0,0,0,2020,8,2,0,4,23,0,0,0,3.40,3.26,4.98,4.96,34.28,23.91,20.36,24.73,19.93,1021.61,0.61,0.00,9.71,3.60,0.00,172.20,"END
"
262,0,0,0,0,0,2020,8,2,0,4,24,0,0,0,3.27,3.27,4.98,4.96,34.24,23.17,20.38,24.73,19.96,1021.31,0.61,0.00,9.68,3.62,0.00,172.54,"END
"
263,0,0,0,0,0,2020,8,2,0,4,25,0,0,0,3.40,3.26,4.98,4.95,32.83,24.15,20.39,24.77,20.02,1021.63,0.65,0.00,9.68,3.84,0.00,172.42,"END
"
264,0,0,0,0,0,2020,8,2,0,4,26,0,0,0,3.29,3.27,4.98,4.97,32.85,23.03,20.40,24.71,20.01,1021.41,0.65,0.00,9.71,3.83,0.00,172.47,"END
"
265,0,0,0,0,0,2020,8,2,0,4,27,0,0,0,3.40,3.26,4.98,4.96,33.19,24.26,20.40,24.74,19.96,1021.53,0.65,-0.04,9.71,3.83,-0.23,171.13,"END
"
266,0,0,0,0,0,2020,8,2,0,4,28,0,0,0,3.41,3.20,4.98,4.96,33.52,24.25,20.42,24.73,19.98,1021.54,0.57,0.00,9.56,3.43,0.00,171.39,"END
"
267,0,0,0,0,0,2020,8,2,0,4,29,0,0,0,3.41,3.27,4.98,4.96,34.24,24.01,20.39,24.75,20.01,1021.52,0.69,0.00,9.75,4.04,0.00,171.57,"END
"
268,0,0,0,0,0,2020,8,2,0,4,30,0,0,0,3.35,3.19,4.98,4.96,34.12,23.47,20.41,24.78,20.00,1021.63,0.61,-0.04,9.83,3.56,-0.22,171.37,"END
"
269,0,0,0,0,0,2020,8,2,0,4,31,0,0,0,3.40,3.26,4.98,4.96,34.16,24.13,20.39,24.82,19.96,1021.47,0.69,0.00,9.64,4.09,0.00,171.91,"END
"
270,0,0,0,0,0,2020,8,2,0,4,32,0,0,0,3.39,3.27,4.98,4.96,33.30,23.33,20.44,24.83,20.03,1021.32,0.65,-0.04,9.75,3.81,-0.22,171.67,"END
"
271,0,0,0,0,0,2020,8,2,0,4,33,0,0,0,3.40,3.26,4.98,4.96,33.50,23.90,20.47,24.85,20.02,1021.49,0.65,-0.04,9.79,3.80,-0.22,172.27,"END
"
272,0,0,0,0,0,2020,8,2,0,4,34,0,0,0,3.40,3.24,4.98,4.96,33.33,23.87,20.47,24.85,20.05,1021.52,0.69,-0.04,9.94,3.96,-0.22,172.02,"END
"
273,0,0,0,0,0,2020,8,2,0,4,35,0,0,0,3.41,3.26,4.98,4.96,33.95,24.11,20.48,24.83,20.05,1021.48,0.84,0.04,9.71,4.95,0.22,172.19,"END
"
274,0,0,0,0,0,2020,8,2,0,4,36,0,0,0,3.39,3.27,4.98,4.90,33.89,23.93,20.47,24.84,20.11,1021.52,0.65,-0.04,9.68,3.84,-0.23,171.40,"END
"
275,0,0,0,0,0,2020,8,2,0,4,37,0,0,0,3.40,3.26,4.98,4.96,33.61,24.71,20.48,24.88,20.07,1021.39,0.61,-0.04,9.75,3.59,-0.22,171.72,"END
"
276,0,0,0,0,0,2020,8,2,0,4,38,0,0,0,3.38,3.27,4.98,4.90,33.81,23.46,20.49,24.94,20.07,1021.42,0.65,-0.04,9.68,3.84,-0.23,171.27,"END
"
277,0,0,0,0,0,2020,8,2,0,4,39,0,0,0,3.40,3.26,4.98,4.96,33.49,24.57,20.51,24.95,20.12,1021.57,0.57,-0.04,9.79,3.35,-0.22,171.81,"END
"
278,0,0,0,0,0,2020,8,2,0,4,40,0,0,0,3.39,3.27,4.98,4.95,33.64,24.14,20.50,24.93,20.09,1021.48,0.61,-0.04,9.71,3.60,-0.23,171.17,"END
"
